Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,822.0,18.0,39.0,822.0,0.1,638.0,0.0,0.0,71.50206136703491,,,,,,,,,,,,,,,,,,,,,271.0442545217576,212.56372244541467,628.686017422479,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,908.0,19.0,86.0,908.0,0.1,1425.0,0.0,0.0,79.26680397987366,,,,,,,,,,,,,,,,,,,,,680.0760075779617,411.5199243690286,1369.2505952882764,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,953.0,20.0,45.0,953.0,0.1,784.0,0.0,0.0,83.4619197845459,,,,,,,,,,,,,,,,,,,,,347.50745318590276,253.9291340227441,769.9011970996366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,27.0,1.0,27.0,980.0,0.1,446.0,0.0,0.0,175.93894386291504,,,,,,,,,,,,,,,,,,,,,199.20373356035574,150.2310578105686,441.50406582144757,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,70.0,2.0,43.0,1023.0,0.1,682.0,0.0,0.0,180.13364005088806,,,,,,,,,,,,,,,,,,,,,279.37517799264555,228.223511750549,671.3288537249125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,116.0,3.0,46.0,1069.0,0.1,865.0,0.0,0.0,184.69129395484924,,,,,,,,,,,,,,,,,,,,,409.9911067622497,268.60504222129026,847.835231717139,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,219.0,4.0,103.0,1172.0,0.1,1562.0,0.0,0.0,193.97983956336975,,,,,,,,,,,,,,,,,,,,,710.6636396720445,405.5675447847281,1491.7837207716016,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,292.0,5.0,73.0,1245.0,0.1,1412.0,0.0,0.0,200.61958503723145,,,,,,,,,,,,,,,,,,,,,664.4588811860242,423.8110155001656,1366.2255866210758,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,321.0,6.0,29.0,1274.0,0.1,468.0,0.0,0.0,203.46405410766602,,,,,,,,,,,,,,,,,,,,,203.09306674795718,158.46097910567735,463.0359098480957,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,364.0,7.0,43.0,1317.0,0.1,742.0,0.0,0.0,207.55664110183716,,,,,,,,,,,,,,,,,,,,,327.39076512473144,241.67856697298976,729.38022817576,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,438.0,8.0,74.0,1391.0,0.1,1453.0,0.0,0.0,214.47913146018982,,,,,,,,,,,,,,,,,,,,,692.7533585110128,430.8339326984613,1404.543934795842,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,468.0,9.0,30.0,1421.0,0.1,489.0,0.0,0.0,217.40977573394775,,,,,,,,,,,,,,,,,,,,,213.12627455850222,164.81339553557834,483.5728739382476,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,500.0,10.0,32.0,1453.0,0.1,531.0,0.0,0.0,220.6089677810669,,,,,,,,,,,,,,,,,,,,,233.23231484593106,177.4325450147345,524.5852117632451,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,562.0,11.0,62.0,1515.0,0.1,1161.0,0.0,0.0,226.28941464424133,,,,,,,,,,,,,,,,,,,,,536.0563690635371,358.294119226221,1130.023421938516,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,607.0,12.0,45.0,1560.0,0.1,764.0,0.0,0.0,230.58274340629578,,,,,,,,,,,,,,,,,,,,,330.9272919929276,250.02833365251033,750.6087387290377,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,644.0,13.0,37.0,1597.0,0.1,656.0,0.0,0.0,234.3765745162964,,,,,,,,,,,,,,,,,,,,,300.68462138249475,212.07124444126993,646.1663555535995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,694.0,14.0,50.0,1647.0,0.1,889.0,0.0,0.0,239.11947751045227,,,,,,,,,,,,,,,,,,,,,397.8247201818496,284.2798255432536,870.849592325967,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,748.0,15.0,54.0,1701.0,0.1,993.0,0.0,0.0,244.16474771499634,,,,,,,,,,,,,,,,,,,,,455.44115306137496,311.19525285015544,970.3458991871607,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,795.0,16.0,47.0,1748.0,0.1,686.0,0.0,0.0,248.570161819458,,,,,,,,,,,,,,,,,,,,,259.38593322478954,231.88784706689373,675.1585029859039,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,869.0,17.0,74.0,1822.0,0.1,1193.0,0.0,0.0,255.3479404449463,,,,,,,,,,,,,,,,,,,,,513.5106758439541,364.00108492008536,1157.313680033935,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
